category,layer,indomain,urls
6,0,1,https://24h.pchome.com.tw/?gclid=Cj0KCQjw4uaUBhC8ARIsANUuDjXvId2xpm1ZVUKfxlZ7KtnOSjWEhtmWstEyru8HD7aUevmDVDJQmqIaAsuhEALw_wcB
6,0,1,https://shopping.friday.tw/
6,0,1,https://shopping.google.com/
6,0,1,https://shopee.tw/
6,0,1,https://tw.shop.com/?sourceid=4274&gclid=Cj0KCQjw4uaUBhC8ARIsANUuDjXL50AVFFNw51Kfy1IXI13TksHklNjML-kXc8nkcswxjYM3cduNW90aAupEEALw_wcB
6,0,1,https://www.thefaceshop.com.tw/?lang=zh-TW
6,0,1,https://www.momoshop.com.tw/main/Main.jsp
6,0,1,https://www.etmall.com.tw/s/31771?gclid=Cj0KCQjw4uaUBhC8ARIsANUuDjVhxjR3t9dPq96SiJcMYE9caIkx2T9Pb2kF4bv88THPBQjZvrVY4FYaAvgaEALw_wcB
6,0,1,https://www.rakuten.com.tw/?scid=rafop-gs949_MK_02_Dept_Zakka_P&utm_source=google&utm_medium=ssc_rafop-gs949&utm_campaign=rafop-gs949_MK_02_Dept_Zakka_P&gclid=Cj0KCQjw4uaUBhC8ARIsANUuDjWafT6yoJBAxE_00Qz49WK7rZ3NOi_razmpkr0PuHm-a10sdBNbK2caAmD_EALw_wcB
6,0,1,https://www.etmall.com.tw/